Criterion,Definition
Research topic,"Broad scientific subject or problem studied."
Specific Claim,"Specific proposition, argument, or conclusion."
Method,"Method, model, algorithm, experiment, or analysis used."
Document Structure,"Where or how information appears in the document."
Terminology,"Remembered technical term, phrase, acronym, or wording."
Application/Motivation,"Practical use case, motivation, or reason for the work."
Comparison,"Relation to another method, paper, condition, or concept."
Exclusion Criteria,"Something the target is known not to be or contain."
Result/Finding,"Empirical, observational, or quantitative outcome."
Dataset,"Dataset, corpus, sample, participants, or observations used."
Present,"Memory that a visual element was present."
Structural,"Visual layout, appearance, shapes, colours, or arrangement."
Semantic Details,"Meaning of elements within a remembered visual."
Temporal Encounter,"When the searcher previously encountered the work."
Academic Activity,"Academic or research context of the encounter."
Physical Relation,"Association with a person, institution, venue, source, or location."
Uncertainty,"Explicit doubt or alternative recollection."
Previous Search,"Earlier attempts to locate or identify the target."
Failed Recall,"Explicit inability to remember a detail."
Social,"Politeness, thanks, apology, or request for help."
Emotion/Frustration,"Emotional reaction to remembering or retrieval failure."
